id,status,n_drones,coordinator,controller
2009,toBeDone,14,mpc_central,mpc_agent_adaptive
2010,done,14,dmpc_admm,mpc_agent
2011,toBeDone,14,dmpc_admm,mpc_agent_adaptive
2148,done,14,mpc_central,mpc_agent
2149,toBeDone,14,mpc_central,mpc_agent_adaptive
2150,done,14,dmpc_admm,mpc_agent
2151,toBeDone,14,dmpc_admm,mpc_agent_adaptive
2288,done,14,mpc_central,mpc_agent
2289,toBeDone,14,mpc_central,mpc_agent_adaptive
2290,done,14,dmpc_admm,mpc_agent
2291,toBeDone,14,dmpc_admm,mpc_agent_adaptive
2428,done,14,mpc_central,mpc_agent
2429,toBeDone,14,mpc_central,mpc_agent_adaptive
2430,done,14,dmpc_admm,mpc_agent
2431,toBeDone,14,dmpc_admm,mpc_agent_adaptive
2568,done,14,mpc_central,mpc_agent
2569,toBeDone,14,mpc_central,mpc_agent_adaptive
2570,done,14,dmpc_admm,mpc_agent
2571,toBeDone,14,dmpc_admm,mpc_agent_adaptive
2708,done,14,mpc_central,mpc_agent
2709,toBeDone,14,mpc_central,mpc_agent_adaptive
2710,done,14,dmpc_admm,mpc_agent
2711,toBeDone,14,dmpc_admm,mpc_agent_adaptive
52,done,15,mpc_central,mpc_agent
53,toBeDone,15,mpc_central,mpc_agent_adaptive
54,done,15,dmpc_admm,mpc_agent
55,toBeDone,15,dmpc_admm,mpc_agent_adaptive
192,done,15,mpc_central,mpc_agent
193,toBeDone,15,mpc_central,mpc_agent_adaptive
194,done,15,dmpc_admm,mpc_agent
195,toBeDone,15,dmpc_admm,mpc_agent_adaptive
332,done,15,mpc_central,mpc_agent
333,toBeDone,15,mpc_central,mpc_agent_adaptive
334,done,15,dmpc_admm,mpc_agent
335,toBeDone,15,dmpc_admm,mpc_agent_adaptive
472,done,15,mpc_central,mpc_agent
473,toBeDone,15,mpc_central,mpc_agent_adaptive
474,done,15,dmpc_admm,mpc_agent
475,toBeDone,15,dmpc_admm,mpc_agent_adaptive
612,done,15,mpc_central,mpc_agent
613,toBeDone,15,mpc_central,mpc_agent_adaptive
614,done,15,dmpc_admm,mpc_agent
615,toBeDone,15,dmpc_admm,mpc_agent_adaptive
752,done,15,mpc_central,mpc_agent
753,toBeDone,15,mpc_central,mpc_agent_adaptive
754,done,15,dmpc_admm,mpc_agent
755,toBeDone,15,dmpc_admm,mpc_agent_adaptive
892,done,15,mpc_central,mpc_agent
893,toBeDone,15,mpc_central,mpc_agent_adaptive
